iter	Passed	Remaining
0	274	219212
1	431	172092
2	544	144526
3	698	138965
4	808	128535
5	919	121669
6	1030	116769
7	1141	112991
8	1255	110355
9	1380	109034
10	1503	107867
11	1614	106013
12	1724	104377
13	1836	103082
14	1951	102148
15	2066	101244
16	2180	100444
17	2286	99325
18	2390	98270
19	2498	97459
20	2602	96549
21	2709	95830
22	2813	95035
23	2916	94291
24	3020	93636
25	3123	92993
26	3230	92495
27	3339	92077
28	3442	91525
29	3546	91014
30	3649	90541
31	3753	90082
32	3857	89667
33	3966	89364
34	4071	88986
35	4175	88608
36	4285	88374
37	4390	88031
38	4494	87691
39	4596	87336
40	4699	86998
41	4802	86667
42	4905	86351
43	5014	86153
44	5117	85854
45	5220	85570
46	5324	85303
47	5427	85036
48	5531	84784
49	5635	84531
50	5738	84275
51	5840	84020
52	5950	83867
53	6053	83630
54	6156	83392
55	6258	83151
56	6363	82951
57	6467	82741
58	6572	82549
59	6678	82374
60	6784	82190
61	6889	82011
62	6994	81828
63	7097	81625
64	7201	81430
65	7304	81233
66	7407	81043
67	7510	80853
68	7615	80684
69	7720	80510
70	7825	80348
71	7928	80165
72	8035	80026
73	8137	79832
74	8240	79656
75	8343	79479
76	8445	79303
77	8548	79131
78	8651	78958
79	8765	78892
80	8869	78727
81	8972	78563
82	9081	78446
83	9185	78291
84	9287	78120
85	9391	77969
86	9493	77806
87	9597	77650
88	9699	77485
89	9801	77319
90	9901	77147
91	10004	76987
92	10105	76823
93	10206	76658
94	10318	76575
95	10420	76419
96	10522	76263
97	10624	76102
98	10725	75943
99	10830	75815
100	10932	75661
101	11034	75507
102	11135	75350
103	11234	75187
104	11339	75059
105	11440	74903
106	11542	74758
107	11643	74604
108	11743	74448
109	11844	74298
110	11946	74151
111	12048	74009
112	12148	73859
113	12249	73712
114	12352	73576
115	12453	73431
116	12560	73321
117	12664	73194
118	12764	73048
119	12865	72904
120	12969	72778
121	13072	72646
122	13177	72530
123	13279	72397
124	13380	72252
125	13481	72114
126	13582	71978
127	13684	71841
128	13789	71728
129	13892	71597
130	13993	71464
131	14095	71332
132	14195	71189
133	14297	71059
134	14397	70920
135	14504	70814
136	14605	70682
137	14707	70555
138	14810	70429
139	14910	70294
140	15012	70164
141	15113	70031
142	15212	69894
143	15315	69769
144	15416	69639
145	15519	69520
146	15621	69393
147	15722	69265
148	15825	69142
149	15924	69008
150	16026	68883
151	16129	68763
152	16230	68635
153	16336	68527
154	16441	68416
155	16544	68297
156	16646	68175
157	16747	68049
158	16848	67925
159	16951	67805
160	17052	67681
161	17153	67556
162	17256	67437
163	17358	67318
164	17459	67193
165	17560	67068
166	17662	66947
167	17763	66825
168	17871	66726
169	17973	66606
170	18075	66486
171	18177	66367
172	18279	66250
173	18381	66130
174	18482	66008
175	18584	65891
176	18685	65768
177	18788	65655
178	18891	65539
179	18991	65416
180	19094	65299
181	19194	65176
182	19296	65060
183	19396	64936
184	19498	64819
185	19600	64701
186	19702	64585
187	19801	64459
188	19902	64340
189	20002	64217
190	20104	64101
191	20204	63981
192	20311	63881
193	20411	63760
194	20516	63653
195	20621	63547
196	20722	63430
197	20822	63308
198	20923	63191
199	21024	63074
200	21129	62968
201	21231	62853
202	21332	62736
203	21433	62618
204	21534	62501
205	21635	62385
206	21737	62273
207	21841	62163
208	21943	62049
209	22044	61933
210	22145	61817
211	22245	61699
212	22348	61589
213	22448	61469
214	22549	61355
215	22650	61241
216	22753	61130
217	22853	61013
218	22956	60902
219	23057	60786
220	23159	60675
221	23259	60558
222	23360	60444
223	23459	60325
224	23559	60208
225	23659	60092
226	23759	59974
227	23860	59861
228	23962	59748
229	24062	59632
230	24163	59519
231	24265	59408
232	24367	59296
233	24468	59183
234	24569	59072
235	24673	58965
236	24776	58856
237	24881	58754
238	24990	58659
239	25089	58541
240	25192	58434
241	25292	58319
242	25396	58213
243	25497	58100
244	25598	57989
245	25698	57874
246	25799	57762
247	25903	57656
248	26005	57546
249	26106	57434
250	26207	57322
251	26308	57209
252	26409	57098
253	26512	56990
254	26614	56882
255	26717	56775
256	26818	56664
257	26920	56553
258	27028	56456
259	27127	56341
260	27227	56227
261	27329	56119
262	27430	56008
263	27531	55897
264	27636	55794
265	27737	55683
266	27837	55571
267	27938	55460
268	28039	55349
269	28140	55238
270	28241	55128
271	28342	55017
272	28442	54905
273	28545	54798
274	28645	54687
275	28747	54578
276	28847	54467
277	28967	54393
278	29068	54282
279	29169	54172
280	29272	54064
281	29372	53953
282	29471	53839
283	29577	53738
284	29677	53627
285	29780	53522
286	29881	53412
287	29983	53303
288	30087	53200
289	30187	53087
290	30287	52977
291	30399	52886
292	30500	52777
293	30602	52669
294	30705	52563
295	30806	52454
296	30907	52344
297	31007	52233
298	31109	52127
299	31210	52017
300	31311	51907
301	31411	51797
302	31511	51687
303	31613	51580
304	31712	51467
305	31812	51357
306	31915	51251
307	32015	51141
308	32115	51031
309	32222	50931
310	32324	50825
311	32424	50715
312	32532	50617
313	32632	50506
314	32731	50396
315	32834	50290
316	32934	50180
317	33035	50072
318	33140	49970
319	33243	49865
320	33345	49758
321	33447	49652
322	33549	49545
323	33652	49439
324	33753	49331
325	33853	49223
326	33955	49116
327	34055	49006
328	34157	48900
329	34257	48790
330	34358	48683
331	34459	48575
332	34562	48470
333	34672	48375
334	34775	48269
335	34875	48161
336	34976	48053
337	35076	47944
338	35178	47839
339	35279	47731
340	35379	47621
341	35482	47517
342	35589	47417
343	35688	47307
344	35789	47200
345	35889	47092
346	35991	46985
347	36092	46878
348	36191	46768
349	36297	46668
350	36399	46561
351	36500	46454
352	36599	46345
353	36700	46238
354	36803	46134
355	36904	46026
356	37006	45920
357	37106	45813
358	37207	45706
359	37307	45597
360	37407	45489
361	37509	45383
362	37609	45276
363	37711	45170
364	37811	45062
365	37911	44955
366	38011	44847
367	38111	44740
368	38213	44633
369	38312	44525
370	38415	44420
371	38515	44313
372	38622	44213
373	38730	44115
374	38829	44006
375	38930	43899
376	39032	43794
377	39135	43691
378	39236	43584
379	39336	43477
380	39436	43369
381	39537	43263
382	39641	43160
383	39742	43053
384	39842	42947
385	39944	42842
386	40046	42737
387	40153	42636
388	40253	42529
389	40356	42426
390	40457	42320
391	40557	42212
392	40659	42108
393	40763	42005
394	40861	41896
395	40967	41795
396	41067	41688
