iter	Logloss
0	0.6728005671
1	0.6549448714
2	0.6407406259
3	0.6283566349
4	0.6161856853
5	0.6075172302
6	0.5981799732
7	0.5910992912
8	0.5830040338
9	0.5752889736
10	0.5697449463
11	0.5648493208
12	0.5592608854
13	0.5547484851
14	0.5504612909
15	0.5467076012
16	0.5429886309
17	0.5393706495
18	0.5361821141
19	0.532768993
20	0.5293530895
21	0.5262653785
22	0.5226157169
23	0.519465971
24	0.5158893794
25	0.5131516261
26	0.5109809431
27	0.5088487346
28	0.5060453238
29	0.5034444488
30	0.5011829226
31	0.4991202399
32	0.4970288559
33	0.4946691123
34	0.4925482048
35	0.4905853343
36	0.4889178818
37	0.4869653819
38	0.4849518179
39	0.4829499191
40	0.4809125164
41	0.4789825925
42	0.4775282715
43	0.4757782867
44	0.473950573
45	0.4716400278
46	0.4701310865
47	0.4687111815
48	0.4671784509
49	0.4658301229
50	0.4644124977
51	0.463451448
52	0.4622175208
53	0.4609670039
54	0.459709989
55	0.4583579671
56	0.4568151994
57	0.4551240648
58	0.4539508642
59	0.4527967043
60	0.451424435
61	0.449934706
62	0.448458717
63	0.4471291198
64	0.4460263862
65	0.4448989245
66	0.4436967464
67	0.4427380748
68	0.4412851065
69	0.4403438689
70	0.4394677918
71	0.4384845392
72	0.4367466881
73	0.4357797659
74	0.4345610835
75	0.4336249039
76	0.432713395
77	0.4316896443
78	0.4307594007
79	0.42972005
80	0.4288502037
81	0.4280845576
82	0.4271243779
83	0.4262804533
84	0.425335759
85	0.4241906874
86	0.4232580513
87	0.4225239627
88	0.4216448839
89	0.4207394452
90	0.4199455617
91	0.4191423815
92	0.4182934836
93	0.4173314425
94	0.4163897677
95	0.4155880056
96	0.414725341
97	0.4139711993
98	0.4130136838
99	0.4121670118
100	0.4113023437
101	0.4104319173
102	0.4095430292
103	0.4085847909
104	0.4074698079
105	0.4066274753
106	0.4056441576
107	0.4049240868
108	0.4038028691
109	0.4029763118
110	0.4014584678
111	0.4004184144
112	0.3992428965
113	0.3980036064
114	0.397052779
115	0.3962044631
116	0.3954540022
117	0.3946287863
118	0.3936900077
119	0.3927399815
120	0.3918034215
121	0.3907832663
122	0.3898144709
123	0.389035286
124	0.3882968411
125	0.3874279905
126	0.386672776
127	0.3858032985
128	0.3848560954
129	0.3839848656
130	0.3832638456
131	0.3821923653
132	0.3814755135
133	0.3805923723
134	0.3798876199
135	0.3789582574
136	0.3778599594
137	0.3770620836
138	0.3761222351
139	0.3753756662
140	0.3745706629
141	0.373890593
142	0.3732750931
143	0.3725175948
144	0.3715523109
145	0.3708429251
146	0.3699652508
147	0.3692865863
148	0.3682623915
149	0.367528494
150	0.366818276
151	0.3661606036
152	0.3655121278
153	0.3647993261
154	0.3640331643
