,Unnamed: 0,actual,SVM Preds,LGB Preds,XGB Preds,CB Preds,MNB_BOW,MNB_TF-IDF
0,27957,CG,CG,CG,CG,CG,CG,CG
1,39755,CG,CG,CG,CG,CG,CG,CG
2,24983,OR,OR,OR,OR,OR,OR,OR
3,13985,CG,CG,CG,CG,OR,CG,CG
4,39275,OR,OR,OR,OR,OR,OR,OR
5,7375,OR,OR,OR,OR,OR,OR,OR
6,38718,CG,CG,CG,CG,CG,CG,CG
7,13488,OR,OR,OR,OR,OR,OR,OR
8,18718,CG,CG,CG,OR,OR,CG,CG
9,14922,OR,OR,OR,OR,OR,OR,OR
10,7811,OR,OR,OR,OR,OR,OR,OR
11,31850,CG,OR,OR,CG,OR,CG,CG
12,33645,OR,OR,OR,OR,OR,CG,OR
13,30006,OR,OR,OR,OR,OR,OR,OR
14,7201,CG,CG,CG,CG,CG,CG,CG
15,22970,CG,CG,CG,CG,CG,CG,CG
16,23665,OR,OR,OR,OR,OR,OR,OR
17,28396,CG,CG,CG,CG,CG,CG,CG
18,23421,OR,OR,OR,OR,OR,OR,OR
19,28649,CG,CG,CG,OR,CG,CG,CG
20,4619,OR,OR,OR,OR,OR,OR,OR
21,5215,OR,OR,OR,OR,OR,OR,OR
22,3281,CG,CG,CG,CG,CG,CG,CG
23,37310,CG,CG,CG,CG,CG,CG,CG
24,21504,OR,OR,OR,OR,OR,OR,OR
25,6757,OR,OR,OR,OR,OR,OR,OR
26,33360,CG,CG,CG,CG,OR,CG,CG
27,3840,CG,OR,OR,CG,CG,CG,OR
28,24862,OR,CG,CG,OR,CG,CG,OR
29,12307,OR,CG,CG,OR,CG,OR,OR
30,10405,OR,OR,OR,OR,OR,OR,OR
31,8247,CG,CG,CG,CG,CG,CG,CG
32,7932,CG,CG,CG,CG,CG,CG,CG
33,31112,CG,CG,CG,CG,CG,CG,CG
34,17078,OR,OR,OR,OR,OR,OR,OR
35,26031,OR,OR,OR,OR,OR,OR,OR
36,22859,CG,CG,CG,CG,CG,CG,CG
37,3931,OR,OR,OR,OR,OR,OR,OR
38,5226,OR,OR,OR,OR,OR,OR,OR
39,38255,CG,CG,CG,CG,CG,CG,CG
40,32576,OR,OR,OR,OR,OR,OR,OR
41,3818,CG,CG,CG,CG,CG,CG,CG
42,16313,CG,CG,CG,CG,CG,CG,CG
43,40067,OR,OR,OR,OR,OR,OR,OR
44,38964,OR,OR,OR,OR,OR,CG,OR
45,30500,OR,OR,OR,OR,OR,OR,OR
46,2875,OR,OR,OR,OR,OR,OR,OR
47,9267,OR,OR,OR,OR,OR,OR,OR
48,40207,OR,OR,OR,OR,OR,OR,OR
